PAIS,MARCAS,PAIS_ORIGEN,MODELO,PRECIO,CAPACIDAD,COLOR,VENDIDO
United States,General Motors,Kazakhstan,2006,Dollar,Swift,Orange,1
United States,Tesla,Armenia,2006,Dollar,H3,Violet,1
Germany,Build Your Dream,Albania,1999,Euro,Odyssey,Maroon,1
China,Chirey,Indonesia,2009,Yuan Renminbi,Explorer,Yellow,1
Germany,Tesla,Indonesia,1997,Euro,Grand Cherokee,Pink,1
China,Suzuki,United States,1996,Yuan Renminbi,Aerostar,Fuscia,1
China,Suzuki,Poland,2000,Yuan Renminbi,Diablo,Goldenrod,1
United States,General Motors,Sweden,1989,Dollar,Topaz,Purple,1
China,Kia,Russia,1995,Yuan Renminbi,RX-7,Turquoise,1
China,Saic Motor,China,2004,Yuan Renminbi,A6,Violet,1
China,Tesla,United States,2009,Yuan Renminbi,Taurus,Crimson,1
China,Suzuki,Indonesia,2011,Yuan Renminbi,EX,Yellow,1
China,Chirey,France,1989,Yuan Renminbi,Bronco II,Puce,1
China,Otros,Indonesia,1996,Yuan Renminbi,Stealth,Mauv,1
China,Kia,China,2000,Yuan Renminbi,rio,Indigo,1
China,Nissan,China,1996,Yuan Renminbi,1500,Puce,1
China,Build Your Dream,Philippines,2012,Yuan Renminbi,Routan,Teal,1
China,Otros,Czech Republic,2013,Yuan Renminbi,Edge,Orange,1
China,Tesla,Afghanistan,2010,Yuan Renminbi,R-Class,Goldenrod,1
China,Nissan,Nepal,2012,Yuan Renminbi,E250,Pink,1
China,Otros,Brazil,2011,Yuan Renminbi,M,Crimson,1
China,Build Your Dream,China,1999,Yuan Renminbi,Venture,Indigo,1
United States,Saic Motor,Canada,1993,Dollar,Protege,Turquoise,1
Germany,General Motors,Argentina,2007,Euro,Tahoe,Puce,1
China,Tesla,Czech Republic,2009,Yuan Renminbi,9-3,Maroon,1
China,Kia,Argentina,2000,Yuan Renminbi,7 Series,Maroon,1
China,Otros,Yemen,2012,Yuan Renminbi,Prius,Teal,1
China,Tesla,United States,2011,Yuan Renminbi,Phantom,Goldenrod,1
China,Saic Motor,Portugal,1996,Yuan Renminbi,Grand Prix,Puce,1
China,Otros,Peru,2005,Yuan Renminbi,Viper,Indigo,1
China,Saic Motor,Greece,2006,Yuan Renminbi,Express 3500,Fuscia,1
China,Build Your Dream,United States,2000,Yuan Renminbi,Express 2500,Turquoise,1
China,Saic Motor,Brazil,2002,Yuan Renminbi,Xterra,Maroon,1
China,Chirey,Syria,2011,Yuan Renminbi,Continental Super,Green,1
China,Kia,France,2002,Yuan Renminbi,RSX,Orange,1
China,General Motors,Russia,1998,Yuan Renminbi,Econoline E350,Purple,1
China,Otros,Brazil,1993,Yuan Renminbi,3500,Violet,1
China,Suzuki,Norway,2010,Yuan Renminbi,PT Cruiser,Purple,1
China,Tesla,China,2003,Yuan Renminbi,QX,Orange,1
China,Nissan,Mongolia,2005,Yuan Renminbi,Passat,Orange,1
China,Nissan,Cyprus,1984,Yuan Renminbi,Continental,Turquoise,1
China,Saic Motor,Russia,2010,Yuan Renminbi,Range Rover,Mauv,1
China,Build Your Dream,Philippines,2000,Yuan Renminbi,Corolla,Green,1
China,Build Your Dream,Philippines,1992,Yuan Renminbi,Pajero,Green,1
China,Chirey,China,1991,Yuan Renminbi,MX-6,Aquamarine,1
China,Build Your Dream,Portugal,1999,Yuan Renminbi,Villager,Turquoise,1
Germany,Nissan,Thailand,2002,Euro,Crown Victoria,Fuscia,1
China,General Motors,Burundi,2003,Yuan Renminbi,Malibu,Khaki,1
China,Suzuki,China,1997,Yuan Renminbi,Malibu,Puce,1
United States,Otros,Poland,2005,Dollar,Exige,Khaki,1
United States,Suzuki,Brazil,2012,Dollar,Durango,Pink,1
China,Chirey,Brazil,1996,Yuan Renminbi,Caprice Classic,Aquamarine,1
China,Tesla,Indonesia,2012,Yuan Renminbi,FCX Clarity,Mauv,1
China,Chirey,Laos,2002,Yuan Renminbi,Nubira,Maroon,1
China,Tesla,Philippines,2006,Yuan Renminbi,Verona,Red,1
United States,Build Your Dream,South Korea,2011,Dollar,Transit Connect,Teal,1
China,Kia,Philippines,2001,Yuan Renminbi,S-Class,Red,1
China,General Motors,Peru,2000,Yuan Renminbi,Firebird,Fuscia,1
China,Chirey,Philippines,2003,Yuan Renminbi,LS,Blue,1
China,Chirey,Kazakhstan,1991,Yuan Renminbi,Trans Sport,Crimson,1
China,Otros,Brazil,2002,Yuan Renminbi,Explorer Sport,Khaki,1
China,Nissan,Indonesia,1994,Yuan Renminbi,Aspire,Fuscia,1
China,Saic Motor,Brazil,2007,Yuan Renminbi,Sierra 1500,Indigo,1
China,Nissan,Philippines,1985,Yuan Renminbi,Familia,Turquoise,1
China,Build Your Dream,Canada,2003,Yuan Renminbi,Escalade ESV,Orange,1
China,Chirey,Sweden,1992,Yuan Renminbi,Xtra,Aquamarine,1
China,Otros,Pakistan,2006,Yuan Renminbi,Baja,Crimson,1
China,Otros,France,1994,Yuan Renminbi,Dakota,Red,1
China,Chirey,Portugal,2004,Yuan Renminbi,Xterra,Aquamarine,1
China,Saic Motor,United States,1998,Yuan Renminbi,Express 2500,Turquoise,1
China,Suzuki,Russia,2001,Yuan Renminbi,Grand Marquis,Turquoise,1
China,Chirey,France,1998,Yuan Renminbi,Odyssey,Crimson,1
China,Nissan,Bangladesh,2006,Yuan Renminbi,CTS,Purple,1
China,Chirey,United States,2009,Yuan Renminbi,GX,Pink,1
United States,Build Your Dream,Peru,2009,Dollar,9-5,Fuscia,1
China,Suzuki,China,1974,Yuan Renminbi,GTO,Goldenrod,1
China,Tesla,Ukraine,1992,Yuan Renminbi,300ZX,Red,1
China,Nissan,Costa Rica,1995,Yuan Renminbi,Viper RT/10,Indigo,1
China,Otros,Croatia,2004,Yuan Renminbi,Touareg,Khaki,1
China,General Motors,Greece,2012,Yuan Renminbi,Legacy,Yellow,1
China,Nissan,Iran,2009,Yuan Renminbi,TT,Mauv,1
China,Suzuki,Russia,2003,Yuan Renminbi,Century,Orange,1
China,Saic Motor,Philippines,2006,Yuan Renminbi,V8 Vantage,Orange,1
China,Nissan,Luxembourg,2007,Yuan Renminbi,Ram,Indigo,1
China,Saic Motor,Colombia,1998,Yuan Renminbi,Quest,Blue,1
China,Nissan,Democratic Republic of the Congo,2010,Yuan Renminbi,Mazda6,Green,1
China,Kia,Lebanon,2001,Yuan Renminbi,Cavalier,Mauv,1
China,Otros,China,1993,Yuan Renminbi,Eclipse,Fuscia,1
China,General Motors,Brazil,2010,Yuan Renminbi,Sierra 2500,Orange,1
China,Otros,Poland,2004,Yuan Renminbi,Camry,Yellow,1
China,Saic Motor,Poland,2003,Yuan Renminbi,Aurora,Violet,1
China,Otros,China,1985,Yuan Renminbi,Grand Prix,Purple,1
China,Suzuki,Canada,1998,Yuan Renminbi,Supra,Aquamarine,1
China,General Motors,Poland,2002,Yuan Renminbi,Spyder,Crimson,1
China,Tesla,Bosnia and Herzegovina,1986,Yuan Renminbi,5000S,Crimson,1
United States,Saic Motor,Russia,1992,Dollar,Topaz,Yellow,1
China,Kia,Portugal,2005,Yuan Renminbi,57S,Goldenrod,1
United States,Build Your Dream,Brazil,1992,Dollar,Corolla,Teal,1
China,Build Your Dream,Nigeria,2000,Yuan Renminbi,A4,Purple,1
United States,Kia,Serbia,2009,Dollar,S60,Green,1
China,Suzuki,China,1969,Yuan Renminbi,Camaro,Green,1
China,Tesla,Tanzania,2005,Yuan Renminbi,Grand Caravan,Crimson,1
China,General Motors,Brazil,1997,Yuan Renminbi,RAV4,Khaki,1
China,Nissan,Dominican Republic,1986,Yuan Renminbi,Leone,Puce,1
China,Kia,Philippines,2006,Yuan Renminbi,LR3,Teal,1
China,Saic Motor,Serbia,2011,Yuan Renminbi,Escalade ESV,Puce,1
China,Build Your Dream,United States,2010,Yuan Renminbi,Yaris,Aquamarine,1
China,Chirey,China,2005,Yuan Renminbi,330,Khaki,1
China,Kia,Canada,1999,Yuan Renminbi,Cavalier,Red,1
China,Build Your Dream,Peru,2010,Yuan Renminbi,Continental Super,Fuscia,1
China,Kia,Kenya,2004,Yuan Renminbi,Galant,Purple,1
China,Tesla,Tanzania,2006,Yuan Renminbi,Ram 2500,Fuscia,1
United States,General Motors,Chad,2011,Dollar,Suburban 2500,Fuscia,1
Germany,General Motors,Indonesia,2004,Euro,Sienna,Blue,1
United States,Kia,Indonesia,1999,Dollar,Navigator,Maroon,1
China,Build Your Dream,Philippines,2010,Yuan Renminbi,Camry,Red,1
China,Nissan,Jordan,2007,Yuan Renminbi,A8,Turquoise,1
China,General Motors,Greece,2011,Yuan Renminbi,IS F,Red,1
China,Build Your Dream,China,2012,Yuan Renminbi,Sorento,Indigo,1
United States,Saic Motor,Nigeria,2007,Dollar,Pacifica,Yellow,1
China,Chirey,Cameroon,2012,Yuan Renminbi,FX,Khaki,1
China,Saic Motor,Poland,1998,Yuan Renminbi,Ram 2500,Yellow,1
China,Saic Motor,Greece,1993,Yuan Renminbi,600SEC,Puce,1
China,Chirey,France,1994,Yuan Renminbi,Summit,Blue,1
China,Tesla,Canada,2001,Yuan Renminbi,V40,Purple,1
China,Suzuki,Mongolia,2012,Yuan Renminbi,MKS,Goldenrod,1
United States,Saic Motor,Peru,1993,Dollar,Precis,Mauv,1
China,General Motors,China,2012,Yuan Renminbi,Mazda2,Fuscia,1
China,Nissan,Afghanistan,1997,Yuan Renminbi,Sebring,Puce,1
China,Build Your Dream,China,1997,Yuan Renminbi,SLK-Class,Pink,1
China,Saic Motor,China,1994,Yuan Renminbi,Sidekick,Goldenrod,1
China,Kia,Japan,2012,Yuan Renminbi,Yukon XL 1500,Yellow,1
China,Suzuki,Honduras,1994,Yuan Renminbi,SVX,Fuscia,1
China,Tesla,Philippines,2005,Yuan Renminbi,Dakota,Aquamarine,1
China,General Motors,Mongolia,2012,Yuan Renminbi,E-Class,Teal,1
China,Kia,Bolivia,2012,Yuan Renminbi,Prius Plug-in,Violet,1
United States,Saic Motor,Hungary,1999,Dollar,Eldorado,Aquamarine,1
United States,Saic Motor,Cameroon,2001,Dollar,Millenia,Khaki,1
China,Nissan,United States,1996,Yuan Renminbi,Metro,Fuscia,1
China,General Motors,Germany,2009,Yuan Renminbi,Grand Cherokee,Pink,1
China,Tesla,Russia,1995,Yuan Renminbi,3000GT,Turquoise,1
China,Nissan,Bosnia and Herzegovina,2010,Yuan Renminbi,Explorer Sport Trac,Red,1
China,Nissan,Russia,2002,Yuan Renminbi,XG350,Purple,1
China,Build Your Dream,Brazil,1993,Yuan Renminbi,9000,Fuscia,1
China,Nissan,Tunisia,2011,Yuan Renminbi,Express 2500,Maroon,1
China,Build Your Dream,Indonesia,1995,Yuan Renminbi,Supra,Orange,1
China,Saic Motor,China,2007,Yuan Renminbi,Quest,Mauv,1
China,Saic Motor,Indonesia,2003,Yuan Renminbi,Stratus,Puce,1
China,Tesla,South Africa,1989,Yuan Renminbi,Century,Yellow,1
China,Nissan,Indonesia,1997,Yuan Renminbi,Ram 1500,Yellow,1
China,Kia,Indonesia,1996,Yuan Renminbi,Expo LRV,Yellow,1
Germany,Nissan,Russia,2012,Euro,57,Khaki,1
China,General Motors,United States,1994,Yuan Renminbi,C-Class,Orange,1
China,Nissan,Russia,2003,Yuan Renminbi,Neon,Indigo,1
China,Otros,Russia,1999,Yuan Renminbi,SLK-Class,Fuscia,1
China,General Motors,Bangladesh,2006,Yuan Renminbi,Sierra Denali,Purple,1
China,Build Your Dream,Philippines,1992,Yuan Renminbi,Eclipse,Crimson,1
China,General Motors,Colombia,2002,Yuan Renminbi,Sierra 2500,Green,1
China,Chirey,Iran,2012,Yuan Renminbi,R8,Blue,1
United States,Build Your Dream,China,2003,Dollar,Grand Caravan,Yellow,1
China,Kia,Sweden,2000,Yuan Renminbi,Escort,Khaki,1
China,Saic Motor,Belarus,1999,Yuan Renminbi,Express 3500,Red,1
United States,General Motors,China,2006,Dollar,A3,Mauv,1
China,Saic Motor,France,2008,Yuan Renminbi,Odyssey,Crimson,1
China,Tesla,China,1997,Yuan Renminbi,Boxster,Khaki,1
China,Suzuki,China,1993,Yuan Renminbi,Mighty Max,Yellow,1
China,Tesla,Poland,1996,Yuan Renminbi,MPV,Goldenrod,1
China,Saic Motor,Malaysia,2008,Yuan Renminbi,GX,Green,1
China,Saic Motor,Slovenia,1996,Yuan Renminbi,626,Fuscia,1
China,Tesla,Brazil,1998,Yuan Renminbi,Avalon,Crimson,1
China,Chirey,Philippines,1996,Yuan Renminbi,F150,Red,1
China,Nissan,France,2003,Yuan Renminbi,Blackwood,Maroon,1
United States,General Motors,Philippines,2001,Dollar,Tracker,Goldenrod,1
China,Tesla,Indonesia,1997,Yuan Renminbi,X-90,Turquoise,1
China,Nissan,China,1993,Yuan Renminbi,MPV,Turquoise,1
China,Saic Motor,Swaziland,1988,Yuan Renminbi,Continental,Teal,1
China,Tesla,France,2007,Yuan Renminbi,Magnum,Teal,1
China,Saic Motor,Ukraine,1999,Yuan Renminbi,9-3,Puce,1
China,General Motors,China,1986,Yuan Renminbi,Firefly,Red,1
China,Build Your Dream,Ethiopia,2007,Yuan Renminbi,Raider,Mauv,1
China,Tesla,Indonesia,2009,Yuan Renminbi,S4,Khaki,1
China,Tesla,France,2003,Yuan Renminbi,9-5,Violet,1
China,Tesla,China,1996,Yuan Renminbi,Passport,Khaki,1
China,Otros,United States,2002,Yuan Renminbi,V40,Blue,1
China,Build Your Dream,China,1992,Yuan Renminbi,Coachbuilder,Mauv,1
China,Saic Motor,Yemen,1996,Yuan Renminbi,2500,Teal,1
United States,Nissan,Russia,1988,Dollar,Ranger,Crimson,1
China,Suzuki,Canada,2011,Yuan Renminbi,Milan,Yellow,1
China,Tesla,France,2006,Yuan Renminbi,57,Blue,1
China,Build Your Dream,Czech Republic,2004,Yuan Renminbi,E-Series,Goldenrod,1
China,Nissan,China,2010,Yuan Renminbi,Caliber,Crimson,1
China,Suzuki,Brazil,1994,Yuan Renminbi,Lumina,Teal,1
United States,General Motors,Lesotho,1999,Dollar,Dakota,Turquoise,1
China,Suzuki,Greece,2001,Yuan Renminbi,Navigator,Yellow,1
China,Otros,Brazil,2008,Yuan Renminbi,Avalanche,Pink,1
China,Suzuki,Portugal,2004,Yuan Renminbi,M,Mauv,1
China,General Motors,United States,2002,Yuan Renminbi,B-Series,Fuscia,1
China,Nissan,Mongolia,2012,Yuan Renminbi,Sierra,Maroon,1
China,Build Your Dream,Nigeria,1985,Yuan Renminbi,Electra,Mauv,1
China,Kia,Japan,1998,Yuan Renminbi,5 Series,Goldenrod,1
China,Saic Motor,Macedonia,2006,Yuan Renminbi,G-Class,Aquamarine,1
China,General Motors,China,2007,Yuan Renminbi,Ram,Turquoise,1
United States,Saic Motor,Denmark,2001,Dollar,Neon,Violet,1
China,Build Your Dream,Indonesia,2006,Yuan Renminbi,XL7,Green,1
United States,Build Your Dream,Colombia,2012,Dollar,Maxima,Teal,1
China,Suzuki,Vietnam,1995,Yuan Renminbi,Yukon,Blue,1
China,Saic Motor,Indonesia,2007,Yuan Renminbi,9-5,Purple,1
China,Tesla,Indonesia,2001,Yuan Renminbi,Grand Vitara,Teal,1
China,Tesla,China,1993,Yuan Renminbi,Chariot,Green,1
China,General Motors,Ethiopia,2004,Yuan Renminbi,Forenza,Orange,1
China,Saic Motor,Zimbabwe,1988,Yuan Renminbi,S-Class,Indigo,1
China,Build Your Dream,United Kingdom,2000,Yuan Renminbi,Bonneville,Green,1
China,Saic Motor,Mongolia,1984,Yuan Renminbi,E250,Aquamarine,1
China,Chirey,France,1999,Yuan Renminbi,Contour,Purple,1
China,Saic Motor,Yemen,2007,Yuan Renminbi,XK,Green,1
China,Nissan,China,2005,Yuan Renminbi,Santa Fe,Fuscia,1
China,Nissan,Philippines,1993,Yuan Renminbi,Town & Country,Goldenrod,1
China,Nissan,France,2003,Yuan Renminbi,New Beetle,Indigo,1
China,Suzuki,Indonesia,2009,Yuan Renminbi,F150,Aquamarine,1
China,Kia,Bulgaria,2006,Yuan Renminbi,CLK-Class,Violet,1
China,Kia,Croatia,1996,Yuan Renminbi,Sportvan G30,Red,1
China,Saic Motor,Philippines,2006,Yuan Renminbi,V50,Orange,1
China,General Motors,Morocco,1965,Yuan Renminbi,Tempest,Blue,1
China,Tesla,Ukraine,1992,Yuan Renminbi,Vandura 2500,Yellow,1
China,Nissan,Colombia,2006,Yuan Renminbi,57,Goldenrod,1
China,Otros,China,1992,Yuan Renminbi,Alcyone SVX,Green,1
United States,Tesla,Russia,1992,Dollar,Suburban 2500,Turquoise,1
China,Saic Motor,Vietnam,1993,Yuan Renminbi,3500,Orange,1
United States,General Motors,Bolivia,1994,Dollar,Mighty Max,Goldenrod,1
China,Tesla,Ethiopia,1999,Yuan Renminbi,Dakota Club,Yellow,1
China,Chirey,Indonesia,1996,Yuan Renminbi,Summit,Maroon,1
China,Suzuki,Indonesia,2002,Yuan Renminbi,V70,Crimson,1
China,Suzuki,Vietnam,1992,Yuan Renminbi,Eclipse,Teal,1
United States,Tesla,Luxembourg,2006,Dollar,RSX,Green,1
China,Tesla,Czech Republic,2011,Yuan Renminbi,5 Series,Purple,1
United States,Chirey,Venezuela,2001,Dollar,Discovery Series II,Goldenrod,1
China,Otros,China,1985,Yuan Renminbi,B2000,Red,1
China,Build Your Dream,China,2011,Yuan Renminbi,Sportage,Red,1
China,Saic Motor,Philippines,2011,Yuan Renminbi,CR-Z,Maroon,1
China,Otros,China,2005,Yuan Renminbi,Civic Si,Fuscia,1
China,Nissan,Philippines,2007,Yuan Renminbi,Freestar,Crimson,1
China,Saic Motor,Portugal,1994,Yuan Renminbi,Bonneville,Fuscia,1
China,Suzuki,Russia,1988,Yuan Renminbi,Integra,Purple,1
United States,Suzuki,Thailand,1996,Dollar,1500,Yellow,1
United States,Otros,Paraguay,2007,Dollar,i-370,Orange,1
China,Saic Motor,Philippines,1999,Yuan Renminbi,Land Cruiser,Orange,1
China,General Motors,Brazil,2007,Yuan Renminbi,C70,Puce,1
China,Otros,France,2006,Yuan Renminbi,Lucerne,Turquoise,1
China,Chirey,China,1994,Yuan Renminbi,88,Maroon,1
China,Kia,France,1992,Yuan Renminbi,Escort,Green,1
China,Build Your Dream,Russia,1986,Yuan Renminbi,MR2,Red,1
China,Saic Motor,Serbia,2001,Yuan Renminbi,Tahoe,Mauv,1
China,Chirey,China,1995,Yuan Renminbi,MR2,Violet,1
Germany,General Motors,Cuba,2002,Euro,Tacoma Xtra,Red,1
United States,General Motors,China,2008,Dollar,Avalanche,Yellow,1
China,Build Your Dream,Portugal,2003,Yuan Renminbi,Land Cruiser,Teal,1
United States,Otros,Venezuela,2011,Dollar,XC90,Turquoise,1
China,Tesla,Palestinian Territory,2001,Yuan Renminbi,E-Class,Aquamarine,1
China,General Motors,New Caledonia,1986,Yuan Renminbi,Riviera,Orange,1
China,Kia,Cuba,2012,Yuan Renminbi,X5,Blue,1
China,General Motors,Indonesia,1996,Yuan Renminbi,Z3,Crimson,1
China,General Motors,Dominican Republic,1999,Yuan Renminbi,626,Pink,1
China,Build Your Dream,Poland,1992,Yuan Renminbi,Corsica,Crimson,1
China,Otros,Slovenia,2002,Yuan Renminbi,S6,Crimson,1
China,Kia,Honduras,2009,Yuan Renminbi,G3,Green,1
China,Otros,Norway,1994,Yuan Renminbi,Protege,Orange,1
China,Saic Motor,China,2004,Yuan Renminbi,Altima,Yellow,1
China,Kia,Indonesia,2011,Yuan Renminbi,DB9,Aquamarine,1
United States,Build Your Dream,Indonesia,1987,Dollar,Passat,Blue,1
United States,Kia,Honduras,2010,Dollar,GX,Yellow,1
China,Build Your Dream,China,2001,Yuan Renminbi,Malibu,Khaki,1
China,Kia,China,1992,Yuan Renminbi,Dynasty,Orange,1
China,Kia,Russia,1996,Yuan Renminbi,Suburban 2500,Mauv,1
China,General Motors,Canada,1996,Yuan Renminbi,Century,Purple,1
China,Nissan,China,1993,Yuan Renminbi,Cutlass Cruiser,Blue,1
China,Suzuki,Poland,2004,Yuan Renminbi,Envoy XUV,Pink,1
China,Build Your Dream,Peru,2009,Yuan Renminbi,XC70,Indigo,1
China,Tesla,Indonesia,1997,Yuan Renminbi,SVX,Maroon,1
China,Chirey,Russia,1995,Yuan Renminbi,Dakota Club,Aquamarine,1
China,General Motors,Sweden,2009,Yuan Renminbi,Silverado 1500,Indigo,1
China,Nissan,Colombia,2008,Yuan Renminbi,Ram 2500,Indigo,1
China,Nissan,South Korea,1967,Yuan Renminbi,Firebird,Teal,1
China,Otros,Cambodia,2001,Yuan Renminbi,CLK-Class,Aquamarine,1
China,Otros,Brazil,1996,Yuan Renminbi,Thunderbird,Fuscia,1
China,General Motors,China,1993,Yuan Renminbi,Range Rover Classic,Purple,1
United States,Tesla,Luxembourg,2003,Dollar,Rio,Turquoise,1
China,Nissan,Ukraine,1995,Yuan Renminbi,Ram 1500 Club,Crimson,1
China,Tesla,Lithuania,1989,Yuan Renminbi,430,Crimson,1
Italy,Nissan,Palestinian Territory,2006,Euro,Suburban,Puce,1
China,Nissan,Philippines,1996,Yuan Renminbi,8 Series,Orange,1
China,Chirey,Sweden,1998,Yuan Renminbi,LSS,Orange,1
China,Saic Motor,China,2005,Yuan Renminbi,LS,Aquamarine,1
China,General Motors,China,2001,Yuan Renminbi,Z3,Fuscia,1
China,Kia,Indonesia,1989,Yuan Renminbi,928,Yellow,1
China,Chirey,Serbia,1997,Yuan Renminbi,Esprit,Turquoise,1
China,Tesla,Indonesia,2010,Yuan Renminbi,Town & Country,Teal,1
China,Saic Motor,Japan,2011,Yuan Renminbi,CX-9,Crimson,1
China,Chirey,Indonesia,1985,Yuan Renminbi,Quattro,Turquoise,1
China,Nissan,China,1995,Yuan Renminbi,XJ Series,Aquamarine,1
China,Build Your Dream,China,2002,Yuan Renminbi,Quest,Fuscia,1
China,Tesla,China,2005,Yuan Renminbi,Forenza,Mauv,1
China,Saic Motor,Australia,2009,Yuan Renminbi,Borrego,Purple,1
China,Nissan,France,1998,Yuan Renminbi,Dakota Club,Fuscia,1
China,Kia,Nigeria,2007,Yuan Renminbi,MX-5,Yellow,1
China,Otros,China,2004,Yuan Renminbi,Express 2500,Indigo,1
China,Nissan,Haiti,2007,Yuan Renminbi,Escape,Green,1
China,Saic Motor,China,2007,Yuan Renminbi,Montego,Turquoise,1
China,Otros,Indonesia,2003,Yuan Renminbi,Aerio,Violet,1
China,Saic Motor,Mexico,2012,Yuan Renminbi,ES,Khaki,1
United States,Chirey,Bolivia,2002,Dollar,Focus,Puce,1
China,Nissan,Indonesia,2007,Yuan Renminbi,Element,Turquoise,1
China,Tesla,Russia,2009,Yuan Renminbi,GranTurismo,Aquamarine,1
China,General Motors,Indonesia,1996,Yuan Renminbi,Sephia,Blue,1
United States,Nissan,Kazakhstan,1993,Dollar,Metro,Turquoise,1
United States,Suzuki,China,2002,Dollar,Sedona,Goldenrod,1
China,Otros,Morocco,2000,Yuan Renminbi,Grand Am,Turquoise,1
China,Chirey,Netherlands,2007,Yuan Renminbi,Exige,Pink,1
China,Kia,Japan,1997,Yuan Renminbi,DeVille,Goldenrod,1
China,Saic Motor,Russia,1999,Yuan Renminbi,Eldorado,Puce,1
United States,General Motors,Mexico,1992,Dollar,Maxima,Yellow,1
South Korea,Suzuki,Czech Republic,1993,Won,Swift,Maroon,1
China,Chirey,Israel,1992,Yuan Renminbi,Vigor,Orange,1
United States,General Motors,Indonesia,2008,Dollar,Versa,Mauv,1
China,Saic Motor,China,1963,Yuan Renminbi,Grand Prix,Violet,1
China,Saic Motor,Portugal,2006,Yuan Renminbi,Milan,Puce,1
China,Nissan,Russia,1999,Yuan Renminbi,EV1,Aquamarine,1
China,Saic Motor,Bosnia and Herzegovina,2009,Yuan Renminbi,X3,Green,1
United States,Kia,Sweden,2003,Dollar,Rodeo Sport,Mauv,1
China,Chirey,Philippines,2009,Yuan Renminbi,Ram 2500,Violet,1
China,Saic Motor,Luxembourg,1988,Yuan Renminbi,SL-Class,Turquoise,1
Germany,Suzuki,Brazil,2006,Euro,Silverado 2500,Violet,1
China,Build Your Dream,China,2012,Yuan Renminbi,Tundra,Turquoise,1
China,Tesla,France,1994,Yuan Renminbi,C-Class,Mauv,1
China,Tesla,Kiribati,2006,Yuan Renminbi,SLK-Class,Pink,1
China,Kia,United States,2011,Yuan Renminbi,Silverado 2500,Yellow,1
China,Saic Motor,Philippines,2001,Yuan Renminbi,S-Type,Goldenrod,1
China,Chirey,Peru,1991,Yuan Renminbi,W201,Red,1
United States,Kia,Indonesia,1993,Dollar,G-Series G20,Yellow,1
China,Build Your Dream,Tunisia,2002,Yuan Renminbi,V40,Orange,1
China,Suzuki,China,2002,Yuan Renminbi,Monte Carlo,Purple,1
China,Otros,China,2010,Yuan Renminbi,Santa Fe,Yellow,1
China,Otros,Indonesia,1986,Yuan Renminbi,Tredia,Goldenrod,1
United States,General Motors,Russia,2007,Dollar,Express 1500,Blue,1
China,Chirey,Russia,1992,Yuan Renminbi,W201,Goldenrod,1
China,Nissan,China,2010,Yuan Renminbi,Fusion,Indigo,1
United States,General Motors,Indonesia,1991,Dollar,MX-5,Violet,1
China,Tesla,Albania,1994,Yuan Renminbi,Impala,Mauv,1
China,Build Your Dream,Albania,1992,Yuan Renminbi,Summit,Yellow,1
China,Kia,Philippines,1992,Yuan Renminbi,GTO,Aquamarine,1
China,Chirey,Indonesia,2007,Yuan Renminbi,Mark LT,Green,1
China,Tesla,Indonesia,1999,Yuan Renminbi,Discovery Series II,Blue,1
United States,Build Your Dream,Japan,1986,Dollar,4000CS Quattro,Goldenrod,1
China,General Motors,Canada,2001,Yuan Renminbi,911,Puce,1
China,Nissan,Russia,2003,Yuan Renminbi,Pathfinder,Indigo,1
China,Kia,Malawi,2007,Yuan Renminbi,Rondo,Yellow,1
China,Nissan,Peru,2006,Yuan Renminbi,S-Class,Orange,1
China,Saic Motor,Greece,2010,Yuan Renminbi,LS,Turquoise,1
China,General Motors,China,1993,Yuan Renminbi,Vandura 3500,Teal,1
China,Otros,China,2004,Yuan Renminbi,Corvette,Blue,1
United States,Kia,China,2005,Dollar,Thunderbird,Khaki,1
China,Nissan,Philippines,1997,Yuan Renminbi,Taurus,Puce,1
China,Saic Motor,Pakistan,2006,Yuan Renminbi,Suburban,Mauv,1
China,Build Your Dream,Russia,2011,Yuan Renminbi,Landaulet,Puce,1
China,Suzuki,China,2002,Yuan Renminbi,LS,Mauv,1
United States,Kia,Russia,2010,Dollar,Suburban,Pink,1
China,Saic Motor,France,1998,Yuan Renminbi,Grand Am,Green,1
China,Otros,China,1996,Yuan Renminbi,Celica,Puce,1
China,Saic Motor,Colombia,1994,Yuan Renminbi,Eclipse,Fuscia,1
China,Chirey,Ivory Coast,2008,Yuan Renminbi,Caravan,Green,1
China,Otros,China,2005,Yuan Renminbi,Phantom,Goldenrod,1
China,Saic Motor,Sudan,2013,Yuan Renminbi,X6,Crimson,1
China,Saic Motor,China,2009,Yuan Renminbi,Highlander,Violet,1
China,Kia,China,2011,Yuan Renminbi,IS-F,Blue,1
China,General Motors,France,1990,Yuan Renminbi,Town Car,Turquoise,1
China,Saic Motor,Iraq,1992,Yuan Renminbi,MX-5,Teal,1
China,Suzuki,Tunisia,2002,Yuan Renminbi,Sentra,Purple,1
China,Suzuki,Czech Republic,2002,Yuan Renminbi,F-Series,Aquamarine,1
China,General Motors,China,1996,Yuan Renminbi,Grand Caravan,Yellow,1
China,Chirey,China,2004,Yuan Renminbi,Yukon XL 1500,Aquamarine,1
China,Otros,Indonesia,2007,Yuan Renminbi,Suburban 2500,Indigo,1
China,Nissan,Pakistan,1994,Yuan Renminbi,Mighty Max,Teal,1
China,General Motors,Poland,2006,Yuan Renminbi,Crossfire,Aquamarine,1
